campaign_name,channel,budget,revenue,installs,roas,cpi
TikTok_NewYear,TikTok Ads,10000,9100,820,0.91,12.2
TikTok_Viral,TikTok Ads,11000,8900,950,0.81,11.58
TikTok_Holiday,TikTok Ads,14000,11200,1100,0.8,12.73
Facebook_Holiday23,Facebook Ads,25000,19500,990,0.78,25.25
Facebook_Fall23,Facebook Ads,18000,13100,730,0.73,24.66
Facebook_Summer23,Facebook Ads,20000,14500,810,0.72,24.69
Google_Retarget_Q2,Google Ads,9500,6300,310,0.66,30.65
Facebook_Spring23,Facebook Ads,15000,9800,620,0.65,24.19
Google_Brand_Q1,Google Ads,12000,7200,480,0.6,25.0
Google_Promo_Q4,Google Ads,17000,10400,560,0.61,30.36
Google_Brand_Q3,Google Ads,13500,7800,420,0.58,32.14
TikTok_Launch,TikTok Ads,8000,4100,390,0.51,20.51
